state,state_fips,fips,county,NAME,disease,season,season_start_year,outcome_per_100k,total_cases,total_cases_per_100k,peak_week_cases,peak_week_cases_per_100k,weeks_active,time_to_peak,outbreak_steepness,pct_type_a,pct_weeks_high_level,mean_admissions_per_100k,pop_density_per_sqmi,median_age,pct_elderly,avg_household_size,median_income,poverty_rate,unemployment_rate,public_transport_pct,pct_bachelors_plus,pct_non_white,pct_foreign_born,pct_checkup,pct_obesity,pct_diabetes,pct_copd,pct_chd,pct_csmoking,pop_total,land_area_sqmi,outbreak
NY,36,36045,Jefferson County,"Jefferson County, New York",COVID,2022-2023,2022,5316.2,,5316.199999999999,,203.03,50.0,,,,4.0,10.378,92.63,32.8,14.19,2.44,62782,12.18,6.41,0.52,16.02,15.84,4.71,78.5,36.3,10.0,7.4,6.6,17.1,117445,1267.916,0
NY,36,36047,Kings County,"Kings County, New York",COVID,2022-2023,2022,8854.4,,8854.37,,374.7,50.0,,,,34.0,9.138,38624.04,35.9,14.5,2.64,74692,18.79,7.27,50.72,28.05,59.62,35.28,78.0,26.9,11.6,5.6,6.2,11.8,2679620,69.377,1
NY,36,36049,Lewis County,"Lewis County, New York",COVID,2022-2023,2022,3639.3,,3639.34,,182.54,50.0,,,,2.0,10.378,20.91,42.0,19.59,2.46,64401,12.96,5.16,1.07,13.3,4.73,1.11,79.4,36.0,11.2,8.4,8.0,16.9,26690,1276.462,0
NY,36,36051,Livingston County,"Livingston County, New York",COVID,2022-2023,2022,3396.7,,3396.69,,143.05,50.0,,,,0.0,11.914,98.11,41.7,18.89,2.35,70443,10.76,4.67,0.62,19.91,8.75,3.02,78.2,31.4,10.3,7.4,7.3,14.8,61980,631.762,0
NY,36,36053,Madison County,"Madison County, New York",COVID,2022-2023,2022,3645.3,,3645.269999999999,,205.8,50.0,,,,2.0,7.024,103.87,42.5,19.15,2.48,68869,8.76,4.06,0.33,18.24,8.12,2.87,79.4,33.3,9.8,7.1,7.2,14.4,68020,654.85,0
NY,36,36055,Monroe County,"Monroe County, New York",COVID,2022-2023,2022,3954.9,,3954.87,,122.81,50.0,,,,0.0,11.914,1151.4,39.3,17.91,2.32,71450,13.02,5.27,1.98,28.13,27.75,8.25,77.4,35.6,10.2,5.0,6.0,11.0,756406,656.944,0
NY,36,36057,Montgomery County,"Montgomery County, New York",COVID,2022-2023,2022,5190.8,,5190.849999999999,,253.96,50.0,,,,8.0,7.8279999999999985,123.1,40.6,18.84,2.56,58033,14.88,5.91,0.25,13.67,17.12,3.12,77.9,35.9,12.5,9.9,8.8,19.1,49624,403.111,0
NY,36,36059,Nassau County,"Nassau County, New York",COVID,2022-2023,2022,8665.0,,8664.96,,389.41,50.0,,,,38.0,14.968,4882.09,41.7,18.03,3.01,137709,5.31,4.65,13.64,33.67,37.99,22.79,81.1,27.0,10.9,4.8,6.0,9.5,1389160,284.542,1
NY,36,36061,New York County,"New York County, New York",COVID,2022-2023,2022,8845.7,,8845.69,,424.57,50.0,,,,26.0,9.138,72639.55,38.5,17.27,2.04,99880,15.35,6.77,47.82,48.33,48.78,28.11,77.5,20.9,9.1,5.1,6.1,10.5,1645867,22.658,1
NY,36,36063,Niagara County,"Niagara County, New York",COVID,2022-2023,2022,3936.3,,3936.349999999999,,145.26,50.0,,,,0.0,11.914,406.3,43.1,19.74,2.29,65882,12.74,5.78,0.95,19.43,15.09,3.95,80.8,34.8,11.3,8.4,8.0,14.7,212230,522.353,0
NY,36,36065,Oneida County,"Oneida County, New York",COVID,2022-2023,2022,4698.5,,4698.450000000001,,192.42,50.0,,,,0.0,7.024,190.57,40.9,19.17,2.36,66402,13.79,4.43,1.5,18.9,17.26,8.71,80.2,38.1,11.1,8.0,7.7,15.1,231055,1212.443,0
NY,36,36067,Onondaga County,"Onondaga County, New York",COVID,2022-2023,2022,4701.2,,4701.15,,224.31,50.0,,,,4.0,10.426000000000002,607.2,39.4,17.85,2.35,71479,13.34,5.65,2.37,25.36,23.28,7.9,80.7,34.7,10.9,8.0,7.4,15.3,472637,778.393,0
NY,36,36069,Ontario County,"Ontario County, New York",COVID,2022-2023,2022,4414.4,,4414.42,,179.45,50.0,,,,4.0,12.182000000000002,174.34,43.8,21.03,2.3,76603,8.73,3.96,0.46,26.53,9.6,3.93,79.4,33.5,10.5,7.0,7.2,13.4,112288,644.075,0
NY,36,36071,Orange County,"Orange County, New York",COVID,2022-2023,2022,8183.9,,8183.9,,304.98,49.0,,,,30.0,11.125999999999998,494.09,36.8,14.14,2.89,91806,12.73,5.35,4.66,20.17,32.83,12.23,79.8,37.0,10.3,5.3,6.0,11.6,401237,812.078,1
NY,36,36073,Orleans County,"Orleans County, New York",COVID,2022-2023,2022,3657.8,,3657.8,,156.13,49.0,,,,0.0,11.914,102.61,43.2,18.29,2.33,61069,11.96,6.08,0.39,13.0,12.78,2.91,79.8,36.3,10.7,7.3,7.4,15.2,40148,391.262,0
NY,36,36075,Oswego County,"Oswego County, New York",COVID,2022-2023,2022,5217.6,,5217.55,,264.68,50.0,,,,10.0,10.426000000000002,124.04,40.3,17.07,2.4,65054,16.37,7.35,0.76,14.58,6.77,2.06,78.8,38.3,10.9,8.4,7.5,16.5,118037,951.601,0
NY,36,36077,Otsego County,"Otsego County, New York",COVID,2022-2023,2022,4333.3,,4333.290000000001,,183.21,50.0,,,,0.0,6.540000000000001,59.57,40.8,21.15,2.42,65778,11.88,4.96,0.64,22.22,8.88,3.84,80.2,33.3,10.3,7.0,7.3,12.3,59678,1001.738,0
NY,36,36079,Putnam County,"Putnam County, New York",COVID,2022-2023,2022,6575.5,,6575.48,,252.24,50.0,,,,14.0,10.767999999999995,425.37,44.1,18.28,2.73,120970,6.26,4.42,6.55,30.92,19.9,14.11,79.3,30.5,10.2,5.7,6.5,11.2,97942,230.252,1
NY,36,36081,Queens County,"Queens County, New York",COVID,2022-2023,2022,10135.4,,10135.39,,419.99,50.0,,,,40.0,9.138,21713.94,39.9,16.49,2.85,82431,11.56,7.02,43.73,25.18,69.48,47.14,81.0,24.7,12.3,4.6,5.8,10.4,2360826,108.724,1
